  ID                  X_EVAL            Y_EVAL            Z_EVAL                 X_REQ             Y_REQ             Z_REQ          LAM    ELE  S_ELE                     U_X               U_Y               U_Z             EPS_XX(LOC)       EPS_YY(LOC)       EPS_ZZ(LOC)       EPS_XZ(LOC)       EPS_YZ(LOC)       EPS_XY(LOC)           EPS_XX(GLB)       EPS_YY(GLB)       EPS_ZZ(GLB)       EPS_XZ(GLB)       EPS_YZ(GLB)       EPS_XY(GLB)             SIG_XX(LOC)       SIG_YY(LOC)       SIG_ZZ(LOC)       SIG_XZ(LOC)       SIG_YZ(LOC)       SIG_XY(LOC)           SIG_XX(GLB)       SIG_YY(GLB)       SIG_ZZ(GLB)       SIG_XZ(GLB)       SIG_YZ(GLB)       SIG_XY(GLB)                    DT              VOLT                %H
   1        -0.560700739E-17   0.499999997E+00  -0.299999003E-02       0.000000000E+00   0.500000000E+00  -0.299999000E-02            1      5      1         0.145336990E-02   0.262686949E-02  -0.109125147E-04        -0.127084717E-02   0.538483246E-02   0.362379607E-02  -0.545859899E-04  -0.168562657E-02   0.272053696E-02      -0.127084717E-02   0.538483246E-02   0.362379607E-02  -0.545859899E-04  -0.168562657E-02   0.272053696E-02        -0.869978073E+07   0.227307464E+09  -0.124158606E+05  -0.283847147E+06  -0.244415852E+07   0.141467922E+08      -0.869978073E+07   0.227307464E+09  -0.124158606E+05  -0.283847147E+06  -0.244415852E+07   0.141467922E+08       0.000000000E+00   0.000000000E+00  -0.102183261E-19
   2        -0.560700739E-17   0.499999997E+00  -0.250000003E-02       0.000000000E+00   0.500000000E+00  -0.250000000E-02            1      5      1         0.145336867E-02   0.262521823E-02  -0.908164958E-05        -0.126957195E-02   0.520476880E-02   0.368634561E-02   0.204535191E-04   0.213927262E-03   0.271454900E-02      -0.126957195E-02   0.520476880E-02   0.368634561E-02   0.204535191E-04   0.213927262E-03   0.271454900E-02        -0.920604646E+07   0.202291592E+09  -0.102891597E+06   0.106358299E+06   0.310194529E+06   0.141156548E+08      -0.920604646E+07   0.202291592E+09  -0.102891597E+06   0.106358299E+06   0.310194529E+06   0.141156548E+08       0.000000000E+00   0.000000000E+00   0.171572472E-31
   3        -0.560700739E-17   0.499999997E+00  -0.200000000E-02       0.000000000E+00   0.500000000E+00  -0.200000000E-02            1      5      1         0.145337220E-02   0.262594233E-02  -0.723668272E-05        -0.126895767E-02   0.527970988E-02   0.368580232E-02  -0.147713335E-04   0.272868231E-03   0.271142539E-02      -0.126895767E-02   0.527970988E-02   0.368580232E-02  -0.147713335E-04   0.272868231E-03   0.271142539E-02        -0.886322123E+07   0.212823244E+09   0.232078638E+06  -0.768109341E+05   0.395658935E+06   0.140994120E+08      -0.886322123E+07   0.212823244E+09   0.232078638E+06  -0.768109341E+05   0.395658935E+06   0.140994120E+08       0.000000000E+00   0.000000000E+00  -0.839975520E-34
   4        -0.560700739E-17   0.499999997E+00  -0.149999997E-02       0.000000000E+00   0.500000000E+00  -0.150000000E-02            1      5      1         0.145335176E-02   0.262615852E-02  -0.540115233E-05        -0.126874688E-02   0.530404143E-02   0.365319723E-02  -0.639124936E-04  -0.182967327E-03   0.270758256E-02      -0.126874688E-02   0.530404143E-02   0.365319723E-02  -0.639124936E-04  -0.182967327E-03   0.270758256E-02        -0.890318876E+07   0.216096266E+09  -0.305680214E+05  -0.332344967E+06  -0.265302624E+06   0.140794293E+08      -0.890318876E+07   0.216096266E+09  -0.305680214E+05  -0.332344967E+06  -0.265302624E+06   0.140794293E+08       0.000000000E+00   0.000000000E+00  -0.123259516E-31
   5        -0.560700739E-17   0.499999997E+00  -0.100000997E-02       0.000000000E+00   0.500000000E+00  -0.100001000E-02            1      5      1         0.145331390E-02   0.262544445E-02  -0.358480400E-05        -0.126873935E-02   0.523145750E-02   0.361266801E-02  -0.801504900E-04  -0.466184681E-03   0.270303135E-02      -0.126873935E-02   0.523145750E-02   0.361266801E-02  -0.801504900E-04  -0.466184681E-03   0.270303135E-02        -0.942001099E+07   0.205713243E+09  -0.822461049E+06  -0.416782548E+06  -0.675967788E+06   0.140557630E+08      -0.942001099E+07   0.205713243E+09  -0.822461049E+06  -0.416782548E+06  -0.675967788E+06   0.140557630E+08       0.000000000E+00   0.000000000E+00   0.224547152E-16
 
   6        -0.560700739E-17   0.499999997E+00  -0.999990034E-03       0.000000000E+00   0.500000000E+00  -0.999990000E-03            2      5      2         0.145331390E-02   0.262544441E-02  -0.358473199E-05        -0.126873936E-02   0.523145344E-02   0.361266648E-02  -0.801502542E-04  -0.466188488E-03   0.270303117E-02      -0.126873936E-02   0.523145344E-02   0.361266648E-02  -0.801502542E-04  -0.466188488E-03   0.270303117E-02         0.197038956E+08  -0.417357856E+09  -0.112511424E+06  -0.114060301E+07  -0.170035845E+07  -0.309897250E+08       0.197038956E+08  -0.417357856E+09  -0.112511424E+06  -0.114060301E+07  -0.170035845E+07  -0.309897250E+08       0.000000000E+00   0.000000000E+00   0.207213089E-19
   7        -0.560700739E-17   0.499999997E+00  -0.500000035E-03       0.000000000E+00   0.500000000E+00  -0.500000000E-03            2      5      2         0.145327879E-02   0.262447355E-02  -0.178689440E-05        -0.126879205E-02   0.513141051E-02   0.358145300E-02  -0.538144028E-04  -0.368281460E-03   0.269927811E-02      -0.126879205E-02   0.513141051E-02   0.358145300E-02  -0.538144028E-04  -0.368281460E-03   0.269927811E-02         0.161724827E+08  -0.421929167E+09  -0.929946365E+06  -0.869460627E+06  -0.132543786E+07  -0.278963358E+08       0.161724827E+08  -0.421929167E+09  -0.929946365E+06  -0.869460627E+06  -0.132543786E+07  -0.278963358E+08       0.000000000E+00   0.000000000E+00  -0.836044863E-24
   8        -0.560700739E-17   0.499999997E+00  -0.560700739E-19       0.000000000E+00   0.500000000E+00   0.000000000E+00            2      5      2         0.145326471E-02   0.262404002E-02   0.485423120E-14        -0.126881915E-02   0.508659590E-02   0.356989888E-02  -0.721955171E-16   0.290055655E-15   0.269782668E-02      -0.126881915E-02   0.508659590E-02   0.356989888E-02  -0.721955171E-16   0.290055655E-15   0.269782668E-02         0.145941487E+08  -0.423973291E+09  -0.126830526E+07   0.303804259E-06   0.829068459E-06  -0.265021287E+08       0.145941487E+08  -0.423973291E+09  -0.126830526E+07   0.303804259E-06   0.829068459E-06  -0.265021287E+08       0.000000000E+00   0.000000000E+00  -0.143641144E-33
   9        -0.560700739E-17   0.499999997E+00   0.500000035E-03       0.000000000E+00   0.500000000E+00   0.500000000E-03            2      5      2         0.145327879E-02   0.262447355E-02   0.178689441E-05        -0.126879205E-02   0.513141051E-02   0.358145300E-02   0.538144028E-04   0.368281460E-03   0.269927811E-02      -0.126879205E-02   0.513141051E-02   0.358145300E-02   0.538144028E-04   0.368281460E-03   0.269927811E-02         0.161724827E+08  -0.421929167E+09  -0.929946365E+06   0.869460627E+06   0.132543786E+07  -0.278963358E+08       0.161724827E+08  -0.421929167E+09  -0.929946365E+06   0.869460627E+06   0.132543786E+07  -0.278963358E+08       0.000000000E+00   0.000000000E+00   0.859822162E-40
