  ID                  X_EVAL            Y_EVAL            Z_EVAL                 X_REQ             Y_REQ             Z_REQ          LAM    ELE  S_ELE                     U_X               U_Y               U_Z             EPS_XX(LOC)       EPS_YY(LOC)       EPS_ZZ(LOC)       EPS_XZ(LOC)       EPS_YZ(LOC)       EPS_XY(LOC)           EPS_XX(GLB)       EPS_YY(GLB)       EPS_ZZ(GLB)       EPS_XZ(GLB)       EPS_YZ(GLB)       EPS_XY(GLB)             SIG_XX(LOC)       SIG_YY(LOC)       SIG_ZZ(LOC)       SIG_XZ(LOC)       SIG_YZ(LOC)       SIG_XY(LOC)           SIG_XX(GLB)       SIG_YY(GLB)       SIG_ZZ(GLB)       SIG_XZ(GLB)       SIG_YZ(GLB)       SIG_XY(GLB)                    DT              VOLT                %H
   1        -0.560700739E-17   0.499999997E+00  -0.299999003E-02       0.000000000E+00   0.500000000E+00  -0.299999000E-02            1      5      1         0.202034035E-04   0.465031153E-03   0.432162142E-01        -0.209308665E-03   0.622649993E-03  -0.160801688E-03  -0.214246649E-04  -0.141694787E-04   0.742826136E-04      -0.209308665E-03   0.622649993E-03  -0.160801688E-03  -0.214246649E-04  -0.141694787E-04   0.742826136E-04        -0.337310093E+06   0.858289687E+08  -0.815560859E+04  -0.111408257E+06  -0.205457442E+05   0.386269590E+06      -0.337310093E+06   0.858289687E+08  -0.815560859E+04  -0.111408257E+06  -0.205457442E+05   0.386269590E+06       0.000000000E+00   0.000000000E+00  -0.102183261E-19
   2        -0.560700739E-17   0.499999997E+00  -0.250000003E-02       0.000000000E+00   0.500000000E+00  -0.250000000E-02            1      5      1         0.168427384E-04   0.387495382E-03   0.432161408E-01        -0.174372098E-03   0.518579621E-03  -0.133038472E-03   0.688524766E-05   0.708725747E-04   0.617647488E-04      -0.174372098E-03   0.518579621E-03  -0.133038472E-03   0.688524766E-05   0.708725747E-04   0.617647488E-04        -0.277336210E+06   0.714872133E+08   0.314196965E+04   0.358032878E+05   0.102765233E+06   0.321176694E+06      -0.277336210E+06   0.714872133E+08   0.314196965E+04   0.358032878E+05   0.102765233E+06   0.321176694E+06       0.000000000E+00   0.000000000E+00   0.171572472E-31
   3        -0.560700739E-17   0.499999997E+00  -0.200000000E-02       0.000000000E+00   0.500000000E+00  -0.200000000E-02            1      5      1         0.134881469E-04   0.309990475E-03   0.432160809E-01        -0.139488076E-03   0.414809698E-03  -0.106664407E-03   0.581478533E-05   0.106663133E-03   0.493730235E-04      -0.139488076E-03   0.414809698E-03  -0.106664407E-03   0.581478533E-05   0.106663133E-03   0.493730235E-04        -0.223093526E+06   0.571811709E+08  -0.361488851E+03   0.302368837E+05   0.154661543E+06   0.256739722E+06      -0.223093526E+06   0.571811709E+08  -0.361488851E+03   0.302368837E+05   0.154661543E+06   0.256739722E+06       0.000000000E+00   0.000000000E+00  -0.839975520E-34
   4        -0.560700739E-17   0.499999997E+00  -0.149999997E-02       0.000000000E+00   0.500000000E+00  -0.150000000E-02            1      5      1         0.101287747E-04   0.232496468E-03   0.432160341E-01        -0.104621970E-03   0.311141329E-03  -0.805378965E-04  -0.100966776E-04   0.113472403E-03   0.370310958E-04      -0.104621970E-03   0.311141329E-03  -0.805378965E-04  -0.100966776E-04   0.113472403E-03   0.370310958E-04        -0.169753407E+06   0.428882012E+08  -0.632576213E+04  -0.525027233E+05   0.164534984E+06   0.192561698E+06      -0.169753407E+06   0.428882012E+08  -0.632576213E+04  -0.525027233E+05   0.164534984E+06   0.192561698E+06       0.000000000E+00   0.000000000E+00  -0.123259516E-31
   5        -0.560700739E-17   0.499999997E+00  -0.100000997E-02       0.000000000E+00   0.500000000E+00  -0.100001000E-02            1      5      1         0.676023032E-05   0.155003422E-03   0.432160004E-01        -0.697556074E-04   0.207469258E-03  -0.540934518E-04  -0.295396132E-04   0.107070530E-03   0.246968293E-04      -0.697556074E-04   0.207469258E-03  -0.540934518E-04  -0.295396132E-04   0.107070530E-03   0.246968293E-04        -0.114942658E+06   0.285961478E+08  -0.866374541E+04  -0.153605988E+06   0.155252268E+06   0.128423512E+06      -0.114942658E+06   0.285961478E+08  -0.866374541E+04  -0.153605988E+06   0.155252268E+06   0.128423512E+06       0.000000000E+00   0.000000000E+00   0.224547152E-16
 
   6        -0.560700739E-17   0.499999997E+00  -0.999990034E-03       0.000000000E+00   0.500000000E+00  -0.999990000E-03            2      5      2         0.676009584E-05   0.155000332E-03   0.432160004E-01        -0.697542173E-04   0.207465124E-03  -0.540923884E-04  -0.295403406E-04   0.107070176E-03   0.246963375E-04      -0.697542173E-04   0.207465124E-03  -0.540923884E-04  -0.295403406E-04   0.107070176E-03   0.246963375E-04         0.305644288E+07   0.593952403E+07   0.146276369E+05   0.102534947E+06   0.300620196E+06  -0.356527575E+07       0.305644288E+07   0.593952403E+07   0.146276369E+05   0.102534947E+06   0.300620196E+06  -0.356527575E+07       0.000000000E+00   0.000000000E+00   0.207213089E-19
   7        -0.560700739E-17   0.499999997E+00  -0.500000035E-03       0.000000000E+00   0.500000000E+00  -0.500000000E-03            2      5      2         0.338269882E-05   0.775027136E-04   0.432159801E-01        -0.348803604E-04   0.103750176E-03  -0.271955660E-04  -0.444371449E-04   0.987225388E-04   0.123527588E-04      -0.348803604E-04   0.103750176E-03  -0.271955660E-04  -0.444371449E-04   0.987225388E-04   0.123527588E-04         0.152785706E+07   0.296961464E+07   0.566912932E+04   0.373512534E+05   0.244932795E+06  -0.178294879E+07       0.152785706E+07   0.296961464E+07   0.566912932E+04   0.373512534E+05   0.244932795E+06  -0.178294879E+07       0.000000000E+00   0.000000000E+00  -0.836044863E-24
   8        -0.560700739E-17   0.499999997E+00  -0.560700739E-19       0.000000000E+00   0.500000000E+00   0.000000000E+00            2      5      2         0.483124972E-17   0.122955854E-16   0.432159733E-01         0.958732364E-17   0.712365962E-15   0.931215555E-16  -0.499414000E-04   0.951888102E-04   0.321970996E-15       0.958732364E-17   0.712365962E-15   0.931215555E-16  -0.499414000E-04   0.951888102E-04   0.321970996E-15         0.154443998E-04   0.227532977E-04   0.440649535E-05   0.124238641E+05   0.222862669E+06  -0.117823637E-04       0.154443998E-04   0.227532977E-04   0.440649535E-05   0.124238641E+05   0.222862669E+06  -0.117823637E-04       0.000000000E+00   0.000000000E+00  -0.143641144E-33
   9        -0.560700739E-17   0.499999997E+00   0.500000035E-03       0.000000000E+00   0.500000000E+00   0.500000000E-03            2      5      2        -0.338269882E-05  -0.775027136E-04   0.432159801E-01         0.348803604E-04  -0.103750176E-03   0.271955660E-04  -0.444371449E-04   0.987225388E-04  -0.123527588E-04       0.348803604E-04  -0.103750176E-03   0.271955660E-04  -0.444371449E-04   0.987225388E-04  -0.123527588E-04        -0.152785706E+07  -0.296961464E+07  -0.566912932E+04   0.373512534E+05   0.244932795E+06   0.178294879E+07      -0.152785706E+07  -0.296961464E+07  -0.566912932E+04   0.373512534E+05   0.244932795E+06   0.178294879E+07       0.000000000E+00   0.000000000E+00   0.859822162E-40
