  ID                  X_EVAL            Y_EVAL            Z_EVAL                 X_REQ             Y_REQ             Z_REQ          LAM    ELE  S_ELE                     U_X               U_Y               U_Z             EPS_XX(LOC)       EPS_YY(LOC)       EPS_ZZ(LOC)       EPS_XZ(LOC)       EPS_YZ(LOC)       EPS_XY(LOC)           EPS_XX(GLB)       EPS_YY(GLB)       EPS_ZZ(GLB)       EPS_XZ(GLB)       EPS_YZ(GLB)       EPS_XY(GLB)             SIG_XX(LOC)       SIG_YY(LOC)       SIG_ZZ(LOC)       SIG_XZ(LOC)       SIG_YZ(LOC)       SIG_XY(LOC)           SIG_XX(GLB)       SIG_YY(GLB)       SIG_ZZ(GLB)       SIG_XZ(GLB)       SIG_YZ(GLB)       SIG_XY(GLB)                    DT              VOLT                %H
   1        -0.560700739E-17   0.499999997E+00  -0.299999003E-02       0.000000000E+00   0.500000000E+00  -0.299999000E-02            1      5      1         0.210499560E-18   0.269758627E-02  -0.929570139E-05        -0.611366457E-04   0.525338178E-02   0.317991763E-02  -0.176216645E-19   0.122204103E-02   0.523292064E-19      -0.611366457E-04   0.525338178E-02   0.317991763E-02  -0.176216645E-19   0.122204103E-02   0.523292064E-19         0.249107752E+07   0.212292332E+09  -0.423399100E+05  -0.916326556E-10   0.177195949E+07   0.272111873E-09       0.249107752E+07   0.212292332E+09  -0.423399100E+05  -0.916326556E-10   0.177195949E+07   0.272111873E-09       0.000000000E+00   0.000000000E+00   0.000000000E+00
   2        -0.560700739E-17   0.499999997E+00  -0.250000003E-02       0.000000000E+00   0.500000000E+00  -0.250000000E-02            1      5      1         0.210372802E-18   0.269923908E-02  -0.771537670E-05        -0.610321582E-04   0.542342736E-02   0.314263727E-02  -0.174206155E-19   0.390858340E-03   0.503226342E-19      -0.610321582E-04   0.542342736E-02   0.314263727E-02  -0.174206155E-19   0.390858340E-03   0.503226342E-19         0.308589782E+07   0.236020691E+09   0.298797482E+06  -0.905872007E-10   0.566744593E+06   0.261677698E-09       0.308589782E+07   0.236020691E+09   0.298797482E+06  -0.905872007E-10   0.566744593E+06   0.261677698E-09       0.000000000E+00   0.000000000E+00   0.000000000E+00
   3        -0.560700739E-17   0.499999997E+00  -0.200000000E-02       0.000000000E+00   0.500000000E+00  -0.200000000E-02            1      5      1         0.210252179E-18   0.269951287E-02  -0.615196608E-05        -0.609466666E-04   0.545196286E-02   0.311213448E-02  -0.158516824E-19  -0.980578238E-04   0.480351780E-19      -0.609466666E-04   0.545196286E-02   0.311213448E-02  -0.158516824E-19  -0.980578238E-04   0.480351780E-19         0.307328940E+07   0.239893411E+09   0.786257661E+05  -0.824287485E-10  -0.142183844E+06   0.249782926E-09       0.307328940E+07   0.239893411E+09   0.786257661E+05  -0.824287485E-10  -0.142183844E+06   0.249782926E-09       0.000000000E+00   0.000000000E+00   0.000000000E+00
   4        -0.560700739E-17   0.499999997E+00  -0.149999997E-02       0.000000000E+00   0.500000000E+00  -0.150000000E-02            1      5      1         0.210136361E-18   0.269905472E-02  -0.460211226E-05        -0.608801731E-04   0.540534118E-02   0.308841010E-02  -0.131580138E-19  -0.313144310E-03   0.455538022E-19      -0.608801731E-04   0.540534118E-02   0.308841010E-02  -0.131580138E-19  -0.313144310E-03   0.455538022E-19         0.275280963E+07   0.233234948E+09  -0.403292110E+06  -0.684216717E-10  -0.454059249E+06   0.236879771E-09       0.275280963E+07   0.233234948E+09  -0.403292110E+06  -0.684216717E-10  -0.454059249E+06   0.236879771E-09       0.000000000E+00   0.000000000E+00   0.000000000E+00
   5        -0.560700739E-17   0.499999997E+00  -0.100000997E-02       0.000000000E+00   0.500000000E+00  -0.100001000E-02            1      5      1         0.210024329E-18   0.269836796E-02  -0.306245686E-05        -0.608326785E-04   0.533517566E-02   0.307146438E-02  -0.958284861E-20  -0.322859950E-03   0.429533989E-19      -0.608326785E-04   0.533517566E-02   0.307146438E-02  -0.958284861E-20  -0.322859950E-03   0.429533989E-19         0.235747091E+07   0.223298429E+09  -0.913941909E+06  -0.498308128E-10  -0.468146928E+06   0.223357674E-09       0.235747091E+07   0.223298429E+09  -0.913941909E+06  -0.498308128E-10  -0.468146928E+06   0.223357674E-09       0.000000000E+00   0.000000000E+00   0.000000000E+00
 
   6        -0.560700739E-17   0.499999997E+00  -0.999990034E-03       0.000000000E+00   0.500000000E+00  -0.999990000E-03            2      5      2         0.210024325E-18   0.269836794E-02  -0.306239564E-05        -0.608326770E-04   0.533517293E-02   0.307146384E-02  -0.958269175E-20  -0.322857154E-03   0.429532937E-19      -0.608326770E-04   0.533517293E-02   0.307146384E-02  -0.958269175E-20  -0.322857154E-03   0.429532937E-19        -0.596833399E+07  -0.464857995E+09  -0.814075842E+05  -0.880297742E-10  -0.167885720E+07  -0.410052429E-09      -0.596833399E+07  -0.464857995E+09  -0.814075842E+05  -0.880297742E-10  -0.167885720E+07  -0.410052429E-09       0.000000000E+00   0.000000000E+00   0.000000000E+00
   7        -0.560700739E-17   0.499999997E+00  -0.500000035E-03       0.000000000E+00   0.500000000E+00  -0.500000000E-03            2      5      2         0.209915374E-18   0.269781208E-02  -0.152951864E-05        -0.608041805E-04   0.527832789E-02   0.306129652E-02  -0.536911106E-20  -0.195657993E-03   0.402965606E-19      -0.608041805E-04   0.527832789E-02   0.306129652E-02  -0.536911106E-20  -0.195657993E-03   0.402965606E-19        -0.626686022E+07  -0.465556471E+09  -0.463141641E+06  -0.527124488E-10  -0.101742156E+07  -0.412139286E-09      -0.626686022E+07  -0.465556471E+09  -0.463141641E+06  -0.527124488E-10  -0.101742156E+07  -0.412139286E-09       0.000000000E+00   0.000000000E+00   0.000000000E+00
   8        -0.560700739E-17   0.499999997E+00  -0.560700739E-19       0.000000000E+00   0.500000000E+00   0.000000000E+00            2      5      2         0.209809111E-18   0.269760282E-02  -0.510359927E-14        -0.607946815E-04   0.525692137E-02   0.305790732E-02  -0.760195609E-21   0.705038423E-17   0.376341071E-19      -0.607946815E-04   0.525692137E-02   0.305790732E-02  -0.760195609E-21   0.705038423E-17   0.376341071E-19        -0.637746688E+07  -0.465817454E+09  -0.601864177E+06  -0.110228363E-11   0.366619980E-07  -0.421553866E-09      -0.637746688E+07  -0.465817454E+09  -0.601864177E+06  -0.110228363E-11   0.366619980E-07  -0.421553866E-09       0.000000000E+00   0.000000000E+00   0.000000000E+00
   9        -0.560700739E-17   0.499999997E+00   0.500000035E-03       0.000000000E+00   0.500000000E+00   0.500000000E-03            2      5      2         0.209705465E-18   0.269781208E-02   0.152951863E-05        -0.608041805E-04   0.527832789E-02   0.306129652E-02   0.400081572E-20   0.195657993E-03   0.350045600E-19      -0.608041805E-04   0.527832789E-02   0.306129652E-02   0.400081572E-20   0.195657993E-03   0.350045600E-19        -0.626686022E+07  -0.465556471E+09  -0.463141641E+06   0.507284206E-10   0.101742156E+07  -0.439657690E-09      -0.626686022E+07  -0.465556471E+09  -0.463141641E+06   0.507284206E-10   0.101742156E+07  -0.439657690E-09       0.000000000E+00   0.000000000E+00   0.000000000E+00
