  ID                  X_EVAL            Y_EVAL            Z_EVAL                 X_REQ             Y_REQ             Z_REQ          LAM    ELE  S_ELE                     U_X               U_Y               U_Z             EPS_XX(LOC)       EPS_YY(LOC)       EPS_ZZ(LOC)       EPS_XZ(LOC)       EPS_YZ(LOC)       EPS_XY(LOC)           EPS_XX(GLB)       EPS_YY(GLB)       EPS_ZZ(GLB)       EPS_XZ(GLB)       EPS_YZ(GLB)       EPS_XY(GLB)             SIG_XX(LOC)       SIG_YY(LOC)       SIG_ZZ(LOC)       SIG_XZ(LOC)       SIG_YZ(LOC)       SIG_XY(LOC)           SIG_XX(GLB)       SIG_YY(GLB)       SIG_ZZ(GLB)       SIG_XZ(GLB)       SIG_YZ(GLB)       SIG_XY(GLB)                    DT              VOLT                %H
   1        -0.560700739E-17   0.499999997E+00  -0.299999003E-02       0.000000000E+00   0.500000000E+00  -0.299999000E-02            1      5      1         0.244196200E-04   0.463969383E-03   0.430291654E-01        -0.146245471E-03   0.621129950E-03  -0.185423316E-03  -0.115235380E-04   0.980556502E-04   0.862126333E-04      -0.146245471E-03   0.621129950E-03  -0.185423316E-03  -0.115235380E-04   0.980556502E-04   0.862126333E-04         0.263234026E+06   0.857889063E+08  -0.261564070E+04  -0.599223978E+05   0.142180693E+06   0.448305693E+06       0.263234026E+06   0.857889063E+08  -0.261564070E+04  -0.599223978E+05   0.142180693E+06   0.448305693E+06       0.000000000E+00   0.000000000E+00   0.878506258-311
   2        -0.560700739E-17   0.499999997E+00  -0.250000003E-02       0.000000000E+00   0.500000000E+00  -0.250000000E-02            1      5      1         0.203497512E-04   0.386642442E-03   0.430290804E-01        -0.121871632E-03   0.517610019E-03  -0.154519946E-03  -0.115235380E-04   0.982819142E-04   0.718441008E-04      -0.121871632E-03   0.517610019E-03  -0.154519946E-03  -0.115235380E-04   0.982819142E-04   0.718441008E-04         0.219362420E+06   0.714909937E+08  -0.217970785E+04  -0.599223978E+05   0.142508776E+06   0.373589324E+06       0.219362420E+06   0.714909937E+08  -0.217970785E+04  -0.599223978E+05   0.142508776E+06   0.373589324E+06       0.000000000E+00   0.000000000E+00   0.882750249-311
   3        -0.560700739E-17   0.499999997E+00  -0.200000000E-02       0.000000000E+00   0.500000000E+00  -0.200000000E-02            1      5      1         0.162798008E-04   0.309313950E-03   0.430290109E-01        -0.974973042E-04   0.414088009E-03  -0.123615955E-03  -0.115235380E-04   0.984670433E-04   0.574752798E-04      -0.974973042E-04   0.414088009E-03  -0.123615955E-03  -0.115235380E-04   0.984670433E-04   0.574752798E-04         0.175489934E+06   0.571927942E+08  -0.174376626E+04  -0.599223978E+05   0.142777213E+06   0.298871455E+06       0.175489934E+06   0.571927942E+08  -0.174376626E+04  -0.599223978E+05   0.142777213E+06   0.298871455E+06       0.000000000E+00   0.000000000E+00   0.886994241-311
   4        -0.560700739E-17   0.499999997E+00  -0.149999997E-02       0.000000000E+00   0.500000000E+00  -0.150000000E-02            1      5      1         0.122098503E-04   0.231985457E-03   0.430289568E-01        -0.731229765E-04   0.310566000E-03  -0.927119639E-04  -0.115235380E-04   0.986110326E-04   0.431064589E-04      -0.731229765E-04   0.310566000E-03  -0.927119639E-04  -0.115235380E-04   0.986110326E-04   0.431064589E-04         0.131617447E+06   0.428945947E+08  -0.130782466E+04  -0.599223978E+05   0.142985997E+06   0.224153586E+06       0.131617447E+06   0.428945947E+08  -0.130782466E+04  -0.599223978E+05   0.142985997E+06   0.224153586E+06       0.000000000E+00   0.000000000E+00   0.891238232-311
   5        -0.560700739E-17   0.499999997E+00  -0.100000997E-02       0.000000000E+00   0.500000000E+00  -0.100001000E-02            1      5      1         0.813998150E-05   0.154658516E-03   0.430289182E-01        -0.487491379E-04   0.207046068E-03  -0.618085933E-04  -0.115235380E-04   0.987138805E-04   0.287379263E-04      -0.487491379E-04   0.207046068E-03  -0.618085933E-04  -0.115235380E-04   0.987138805E-04   0.287379263E-04         0.877458412E+05   0.285966821E+08  -0.871891819E+03  -0.599223978E+05   0.143135127E+06   0.149437217E+06       0.877458412E+05   0.285966821E+08  -0.871891819E+03  -0.599223978E+05   0.143135127E+06   0.149437217E+06       0.000000000E+00   0.000000000E+00   0.895482224-311
 
   6        -0.560700739E-17   0.499999997E+00  -0.999990034E-03       0.000000000E+00   0.500000000E+00  -0.999990000E-03            2      5      2         0.813981926E-05   0.154655433E-03   0.430289182E-01        -0.487481663E-04   0.207041941E-03  -0.618073614E-04  -0.115235380E-04   0.987138837E-04   0.287373535E-04      -0.487481663E-04   0.207041941E-03  -0.618073614E-04  -0.115235380E-04   0.987138837E-04   0.287373535E-04         0.383057416E+07   0.649079128E+07   0.210780787E+05   0.146772768E+06   0.306617030E+06  -0.408562764E+07       0.383057416E+07   0.649079128E+07   0.210780787E+05   0.146772768E+06   0.306617030E+06  -0.408562764E+07       0.000000000E+00   0.000000000E+00   0.899726216-311
   7        -0.560700739E-17   0.499999997E+00  -0.500000035E-03       0.000000000E+00   0.500000000E+00  -0.500000000E-03            2      5      2         0.406995047E-05   0.773284928E-04   0.430288950E-01        -0.243743278E-04   0.103522010E-03  -0.309039908E-04  -0.115235380E-04   0.987755918E-04   0.143688210E-04      -0.243743278E-04   0.103522010E-03  -0.309039908E-04  -0.115235380E-04   0.987755918E-04   0.143688210E-04         0.191530630E+07   0.324542821E+07   0.105391451E+05   0.146888471E+06   0.306822209E+06  -0.204283432E+07       0.191530630E+07   0.324542821E+07   0.105391451E+05   0.146888471E+06   0.306822209E+06  -0.204283432E+07       0.000000000E+00   0.000000000E+00   0.903970207-311
   8        -0.560700739E-17   0.499999997E+00  -0.560700739E-19       0.000000000E+00   0.500000000E+00   0.000000000E+00            2      5      2        -0.134322824E-17  -0.441174149E-17   0.430288873E-01         0.109419808E-16  -0.153618543E-16   0.847707984E-18  -0.115235380E-04   0.987961617E-04  -0.139234404E-17       0.109419808E-16  -0.153618543E-16   0.847707984E-18  -0.115235380E-04   0.987961617E-04  -0.139234404E-17         0.768811836E-08  -0.265871766E-06  -0.106920131E-07   0.146927039E+06   0.306890604E+06   0.929274832E-07       0.768811836E-08  -0.265871766E-06  -0.106920131E-07   0.146927039E+06   0.306890604E+06   0.929274832E-07       0.000000000E+00   0.000000000E+00   0.908214199-311
   9        -0.560700739E-17   0.499999997E+00   0.500000035E-03       0.000000000E+00   0.500000000E+00   0.500000000E-03            2      5      2        -0.406995047E-05  -0.773284928E-04   0.430288950E-01         0.243743278E-04  -0.103522010E-03   0.309039908E-04  -0.115235380E-04   0.987755918E-04  -0.143688210E-04       0.243743278E-04  -0.103522010E-03   0.309039908E-04  -0.115235380E-04   0.987755918E-04  -0.143688210E-04        -0.191530630E+07  -0.324542821E+07  -0.105391451E+05   0.146888471E+06   0.306822209E+06   0.204283432E+07      -0.191530630E+07  -0.324542821E+07  -0.105391451E+05   0.146888471E+06   0.306822209E+06   0.204283432E+07       0.000000000E+00   0.000000000E+00   0.912458190-311
  10        -0.560700739E-17   0.499999997E+00   0.999990034E-03       0.000000000E+00   0.500000000E+00   0.999990000E-03            2      5      2        -0.813981926E-05  -0.154655433E-03   0.430289182E-01         0.487481663E-04  -0.207041941E-03   0.618073614E-04  -0.115235380E-04   0.987138837E-04  -0.287373535E-04       0.487481663E-04  -0.207041941E-03   0.618073614E-04  -0.115235380E-04   0.987138837E-04  -0.287373535E-04        -0.383057416E+07  -0.649079128E+07  -0.210780787E+05   0.146772768E+06   0.306617030E+06   0.408562764E+07      -0.383057416E+07  -0.649079128E+07  -0.210780787E+05   0.146772768E+06   0.306617030E+06   0.408562764E+07       0.000000000E+00   0.000000000E+00   0.916702182-311
 
  11        -0.560700739E-17   0.499999997E+00   0.100000997E-02       0.000000000E+00   0.500000000E+00   0.100001000E-02            1      5      3        -0.813998150E-05  -0.154658516E-03   0.430289182E-01         0.487491379E-04  -0.207046068E-03   0.618085933E-04  -0.115235380E-04   0.987138805E-04  -0.287379263E-04       0.487491379E-04  -0.207046068E-03   0.618085933E-04  -0.115235380E-04   0.987138805E-04  -0.287379263E-04        -0.877458412E+05  -0.285966821E+08   0.871891819E+03  -0.599223978E+05   0.143135127E+06  -0.149437217E+06      -0.877458412E+05  -0.285966821E+08   0.871891819E+03  -0.599223978E+05   0.143135127E+06  -0.149437217E+06       0.000000000E+00   0.000000000E+00   0.920946173-311
  12        -0.560700739E-17   0.499999997E+00   0.149999997E-02       0.000000000E+00   0.500000000E+00   0.150000000E-02            1      5      3        -0.122098503E-04  -0.231985457E-03   0.430289568E-01         0.731229765E-04  -0.310566000E-03   0.927119639E-04  -0.115235380E-04   0.986110326E-04  -0.431064589E-04       0.731229765E-04  -0.310566000E-03   0.927119639E-04  -0.115235380E-04   0.986110326E-04  -0.431064589E-04        -0.131617447E+06  -0.428945947E+08   0.130782466E+04  -0.599223978E+05   0.142985997E+06  -0.224153586E+06      -0.131617447E+06  -0.428945947E+08   0.130782466E+04  -0.599223978E+05   0.142985997E+06  -0.224153586E+06       0.000000000E+00   0.000000000E+00   0.925190165-311
  13        -0.560700739E-17   0.499999997E+00   0.200000000E-02       0.000000000E+00   0.500000000E+00   0.200000000E-02            1      5      3        -0.162798008E-04  -0.309313950E-03   0.430290109E-01         0.974973042E-04  -0.414088009E-03   0.123615955E-03  -0.115235380E-04   0.984670433E-04  -0.574752798E-04       0.974973042E-04  -0.414088009E-03   0.123615955E-03  -0.115235380E-04   0.984670433E-04  -0.574752798E-04        -0.175489934E+06  -0.571927942E+08   0.174376626E+04  -0.599223978E+05   0.142777213E+06  -0.298871455E+06      -0.175489934E+06  -0.571927942E+08   0.174376626E+04  -0.599223978E+05   0.142777213E+06  -0.298871455E+06       0.000000000E+00   0.000000000E+00   0.929434157-311
  14        -0.560700739E-17   0.499999997E+00   0.250000003E-02       0.000000000E+00   0.500000000E+00   0.250000000E-02            1      5      3        -0.203497512E-04  -0.386642442E-03   0.430290804E-01         0.121871632E-03  -0.517610019E-03   0.154519946E-03  -0.115235380E-04   0.982819142E-04  -0.718441008E-04       0.121871632E-03  -0.517610019E-03   0.154519946E-03  -0.115235380E-04   0.982819142E-04  -0.718441008E-04        -0.219362420E+06  -0.714909937E+08   0.217970785E+04  -0.599223978E+05   0.142508776E+06  -0.373589324E+06      -0.219362420E+06  -0.714909937E+08   0.217970785E+04  -0.599223978E+05   0.142508776E+06  -0.373589324E+06       0.000000000E+00   0.000000000E+00   0.933678148-311
  15        -0.560700739E-17   0.499999997E+00   0.299999003E-02       0.000000000E+00   0.500000000E+00   0.299999000E-02            1      5      3        -0.244196200E-04  -0.463969383E-03   0.430291654E-01         0.146245471E-03  -0.621129950E-03   0.185423316E-03  -0.115235380E-04   0.980556502E-04  -0.862126333E-04       0.146245471E-03  -0.621129950E-03   0.185423316E-03  -0.115235380E-04   0.980556502E-04  -0.862126333E-04        -0.263234026E+06  -0.857889063E+08   0.261564070E+04  -0.599223978E+05   0.142180693E+06  -0.448305693E+06      -0.263234026E+06  -0.857889063E+08   0.261564070E+04  -0.599223978E+05   0.142180693E+06  -0.448305693E+06       0.000000000E+00   0.000000000E+00   0.937922140-311
 
