31

1   0.00000000D+00  0.00000000D+00  0.00000000D+00  TE 6
2   0.00000000D+00  0.03333333D+00  0.00000000D+00  TE 6
3   0.00000000D+00  0.06666667D+00  0.00000000D+00  TE 6
4   0.00000000D+00  0.10000000D+00  0.00000000D+00  TE 6
5   0.00000000D+00  0.13333333D+00  0.00000000D+00  TE 6
6   0.00000000D+00  0.16666667D+00  0.00000000D+00  TE 6
7   0.00000000D+00  0.20000000D+00  0.00000000D+00  TE 6
8   0.00000000D+00  0.23333333D+00  0.00000000D+00  TE 6
9   0.00000000D+00  0.26666667D+00  0.00000000D+00  TE 6
10  0.00000000D+00  0.30000000D+00  0.00000000D+00  TE 6
11  0.00000000D+00  0.33333333D+00  0.00000000D+00  TE 6
12  0.00000000D+00  0.36666667D+00  0.00000000D+00  TE 6
13  0.00000000D+00  0.40000000D+00  0.00000000D+00  TE 6
14  0.00000000D+00  0.43333333D+00  0.00000000D+00  TE 6
15  0.00000000D+00  0.46666667D+00  0.00000000D+00  TE 6
16  0.00000000D+00  0.50000000D+00  0.00000000D+00  TE 6
17  0.00000000D+00  0.53333333D+00  0.00000000D+00  TE 6
18  0.00000000D+00  0.56666667D+00  0.00000000D+00  TE 6
19  0.00000000D+00  0.60000000D+00  0.00000000D+00  TE 6
20  0.00000000D+00  0.63333333D+00  0.00000000D+00  TE 6
21  0.00000000D+00  0.66666667D+00  0.00000000D+00  TE 6
22  0.00000000D+00  0.70000000D+00  0.00000000D+00  TE 6
23  0.00000000D+00  0.73333333D+00  0.00000000D+00  TE 6
24  0.00000000D+00  0.76666667D+00  0.00000000D+00  TE 6
25  0.00000000D+00  0.80000000D+00  0.00000000D+00  TE 6
26  0.00000000D+00  0.83333333D+00  0.00000000D+00  TE 6
27  0.00000000D+00  0.86666667D+00  0.00000000D+00  TE 6
28  0.00000000D+00  0.90000000D+00  0.00000000D+00  TE 6
29  0.00000000D+00  0.93333333D+00  0.00000000D+00  TE 6
30  0.00000000D+00  0.96666667D+00  0.00000000D+00  TE 6
31  0.00000000D+00  1.00000000D+00  0.00000000D+00  TE 6




